news_id,source,heading,summary,link,category,full_text,image_path
513546c3-d26c-4de0-b30a-c31358424fbe,http://feeds.bbci.co.uk/news/rss.xml,Trump made Carney's turnaround victory possible,"Mark Carney's party pull off an election win that once looked near-impossible, until the US president targeted Canada.",https://www.bbc.com/news/articles/c5ypz7yx73wo,general,"Trump made Carney's turnaround victory possible

3 hours ago Share Save Anthony Zurcher • @awzurcher North America correspondent Share Save

Watch: Liberal Party wins - how Canada's election night unfolded

Mark Carney and the Liberal Party have claimed a remarkable victory in the Canadian election – and it appears to have come with a big assist from Donald Trump. The US president's constant badgering of America's northern neighbour and taunts about making it the 51st US state since his return to office in January coincided with a dramatic reversal in fortune for the centre-left party. Carney has been almost singularly focused on his neighbour, and this was reflected in his victory speech. After warning that the US wanted Canada's land and resources, Carney declared: ""President Trump is trying to break us so that America can own us. That will never ever happen."" Until Trump's return to power, Pierre Poilievre's Conservative Party had held what looked like high and insurmountable ground in voter preference polls amidst general dissatisfaction with the state of the Canadian economy and almost a decade of Liberal government under then leader Justin Trudeau. The past year has been devastating for incumbent governments around the world, with parties all along the political spectrum losing ground or outright control – with the US, UK, Japan, Germany, France and India among the most prominent examples. This Canadian general election broke that trend, as the Liberals forced Trudeau to resign and picked a political outsider, former Bank of England chief Carney, as their leader. He ran hard against what the party continuously characterised as the real threat Trump posed not just to their economy but also to Canada's very sovereignty.

Watch: Canadians react to the election result across the country

Although Trump doesn't appear to have the same distaste for Carney that he clearly held for Trudeau, his political and policy interests and those of Canada now appear destined to continue to diverge. Already there are indications that Canada is looking more toward Europe as a reliable partner, rather than Trump's America – a move that is sure to irk the American leader. Carney has pledged to quickly begin new trade negotiations with Trump in an attempt to stave off US tariffs on Canadian auto exports set to kick in on 3 May. The Canadian economy, which heavily depends on exports to the US, is at considerable risk if a full trade war erupts, and Carney – an economist by training and a veteran central banker - has promised voters that he will do everything in his power to keep Canada from tumbling into a recession. Meanwhile, Trump belly-flopped into Canadian politics one more time on Monday, while voters were casting their ballots, again calling the US-Canadian border ""artificially drawn"" and saying the nation would be better off as a ""cherished"" American state. Carney ascended to political power quite suddenly, at a time when his country is facing a generational challenge from its superpower neighbour. Many world leaders are still working out how to deal with Donald Trump in his second term, but few will face this kind of test.",513546c3-d26c-4de0-b30a-c31358424fbe_unsplash.jpg
5090c17c-b32a-45ff-a89f-361ef9c24541,http://feeds.bbci.co.uk/news/rss.xml,Prince Andrew's firm linked to controversial PPE millionaire,Documents show Doug Barrowman-linked company owned the prince's start-up competition for two years.,https://www.bbc.com/news/articles/c9vep0p877wo,general,"Prince Andrew's firm linked to controversial PPE millionaire

4 hours ago Share Save Ben King Business reporter Share Save

Getty Images Doug Barrowman pictured with his wife Michelle Mone

One of Prince Andrew's prized business assets was administered for two years by a company controlled by the controversial millionaire Doug Barrowman, the BBC can reveal. After the prince's disastrous Newsnight interview in 2019, legal ownership of his Dragon's Den-style start-up competition, Pitch@Palace Global, was transferred to a Barrowman-linked firm, Knox House Trustees (UK). Barrowman and his wife, lingerie boss Baroness Michelle Mone, hit the headlines when she admitted they had lied about their links to a company that won large government contracts during the Covid pandemic after she recommended it to ministers. A lawyer for Mr Barrowman said he ""at no time... had any business or personal involvement with the duke"".

Pitch@Palace Global remained the prince's company, under his control. But in line with longstanding royal practice, it was owned under the names of other people or companies, acting on his behalf as so-called ""nominees"". Documents filed at Companies House show that from 2021, the nominee owner was Knox House Trustees (UK), which was controlled and ultimately owned by Mr Barrowman until 2023.

Controversial associates

Prince Andrew's finances have been under intense scrutiny, with questions about how he can afford to live in his Royal Lodge mansion in Windsor after he was cut off financially by his brother, King Charles. The prince's choice of business associates has long been controversial. In December, he said he ""ceased all contact"" with Yang Tengbo, who led the Chinese arm of Pitch@Palace, after receiving advice from the UK government which alleged that he was a spy. Mr Yang has denied being a spy or doing anything unlawful. Mr Barrowman has attracted plenty of controversy too. In 2017, HMRC began an investigation into one of his companies, AML Tax (UK), which it said ""aggressively promoted"" tax avoidance schemes. It was fined £150,000 in 2022. In January that year, the Guardian newspaper first reported links between Mr Barrowman, Baroness Mone and PPE Medpro. The pair denied involvement until December 2023, when she admitted in a BBC interview that they had lied about their links with the company. The National Crime Agency is now investigating suspected criminal offences at the firm. Mr Barrowman and Baroness Mone both deny any wrongdoing. Author Andrew Lownie, who is writing a biography of the prince, said: ""Andrew has a long history of associating with dubious business figures and disguising his business activities behind nominee and offshore accounts. There really needs to be a full investigation into the duke's financial activities.""

Who owns Pitch@Palace?

Pitch@Palace was a start-up competition, founded in 2014, where entrepreneurs would pitch their ideas to possible investors in the hope of winning their backing. It had two parts: a UK-based version, set up as a community interest company, which cannot pay profits to shareholders

an international arm, Pitch@Palace Global Ltd, which held competitions in places such as Australia, Bahrain and China, and was set up as a for-profit UK company Both arms of Pitch@Palace suspended operations following the Newsnight interview in 2019 about the prince's links to the late sex offender Jeffrey Epstein, which led to Andrew stepping down as a working royal. Nonetheless, the international operation has emerged as a possible way for the duke to fund his lifestyle. In a court witness statement from 2023, Mr Yang wrote that the duke had needed money ""and saw the relationships with China through Pitch as one possible source of funding"". Earlier this year a Dutch company said it was in talks to buy it, saying it saw ""immense value"" in the network, even though it had suspended operations. However, Prince Andrew has never held the company in his own name. Founded in 2017, Pitch@Palace Global Ltd was initially held in the name of Amanda Thirsk, the prince's private secretary, in an arrangement often used by the Royal Family. But early in 2021, the legal ownership was transferred to Knox House Trustees (UK) Limited. This company had been set up the year before, and Mr Barrowman was named as having ""significant influence and control"" over it. Corporate filings in the Isle of Man show Knox House Trustees (UK) was ultimately owned by Knox Limited, whose sole shareholder is Mr Barrowman.

Getty Images The Duke of York presents a Pitch@Palace event in 2015

Investigations into Barrowman's companies",5090c17c-b32a-45ff-a89f-361ef9c24541_unsplash.jpg
6ea67836-46e5-4436-a7f7-6dd2758139ae,http://feeds.bbci.co.uk/news/rss.xml,Trans former judge plans to challenge gender ruling at European court,"Victoria McCloud, who stepped down last year, said the judgement had violated her human rights.",https://www.bbc.com/news/articles/c9qw2149yelo,general,"Trans former judge plans to challenge gender ruling at European court

48 minutes ago Share Save Dominic Casciani • @BBCDomC Home and Legal Correspondent Share Save

Avalon Victoria McCloud, pictured in 2010 when she was sworn in as a Queen's Bench Master, stood down from High Court work last year

The UK's only ever judge to publicly say they are transgender is planning to take the government to the European Court of Human Rights over the Supreme Court's ground-breaking ruling on biological sex. Dr Victoria McCloud, who stepped down from court last year, said the judgement and equality watchdog's new guidance violated her human rights and she felt ""contained and segregated"". She said the court had failed to consider human rights arguments that would have been put by trans people and the judgement had left her with the legal ""nonsense"" of being ""two sexes at once"". Two weeks ago, judges at the Supreme Court unanimously ruled a woman is defined by biological sex under equalities law.

Since then, interim guidance says in places like hospitals, shops and restaurants, ""trans women (biological men) should not be permitted to use the women's facilities"". Equality watchdog issues interim guidance on single-sex spaces

Supreme Court backs 'biological' definition of woman

Dr McCloud was one of at least two trans people who had wanted to present arguments to the Supreme Court about how its outcome would affect them. Courts have the discretion to consider arguments from outside ""interveners"" - but judges often reject such interventions if they conclude they are going to hear all the relevant arguments from others. The Supreme Court considered arguments on trans issues from the human rights campaign group Amnesty International, but not from exclusively trans activists. Dr McCloud, 55, came out as trans in her twenties and is one of about 8,000 people to have legally changed the sex on their birth certificate. She went on to be a High Court Master - judges who often manage complex, expensive cases - and was publicly promoted as a symbol of the modern judiciary's diversity. She stood down a year ago, saying she could not continue her judicial work amid an increasingly difficult public debate that had led to her being singled out for abuse and criticism. Following the Supreme Court ruling, Prime Minister Sir Keir Starmer said it had given ""much-needed clarity"" for those drawing up guidance. But Dr McCloud said that far from clarifying the law, the court had not considered how such an outcome would impact the lives of trans people.

Dr Victoria McCloud speaking to the BBC over a video link on Monday

""Trans people were wholly excluded from this court case,"" said Dr McCloud. ""I applied to be heard. Two of us did. We were refused. ""[The court] heard no material going to the question of the proportionality and the impact on trans people. It didn't hear evidence from us. ""The Supreme Court failed in my view, adequately, to think about human rights points."" Dr McCloud says she and other campaigners will go to the European Court of Human Rights in Strasbourg to seek a declaration that the actions of the UK government and Supreme Court judgement ""violate [her] fundamental human rights"". ""Just as the prime minister didn't know what a woman was, actually the Supreme Court don't know because they haven't defined biological sex,"" said the former judge. ""The answer [in my view] is that a woman in law is someone with the letter F on her birth certificate."" Dr McCloud has a Gender Recognition Certificate - which means her acquired female gender is recorded on her birth certificate. At the same time, the Supreme Court ruling means she is defined as a man for the purposes of the Equality Act. In its judgement, the court said biological sex refers to ""the sex of a person at birth"". It emphasises that only women can be pregnant, for example, and women have specific legal protection during pregnancy. Trans campaigners argue the court did not take into account their view of the complexities of biology. They argue it is impossible for services - from police officers performing a strip search through to restaurants - to truly specify someone's biology, pointing to intersex cases as an example of where biological sex is not binary. However, gender-critical campaigners say biology comes down to a common-sense assessment of what makes a man or a woman.

PA Media Campaigners from For Women Scotland celebrate the Supreme Court's judgement earlier this month

""[This judgement] has left me two sexes at once, which is a nonsense and ironic, because the Supreme Court said that sex was binary,"" said Dr McCloud. ""I am a woman for all purposes in law, but [now under this judgement] I'm a man for the Equality Act 2010. So I have to probably guess on any given occasion which sex I am."" The equalities watchdog's interim guidance says trans women should not be permitted to use women's facilities. It also means trans men - women who have transitioned to being men - have to use women's spaces. The guidance states that ""in some circumstances the law also allows trans women (biological men) not to be permitted to use the men's facilities, and trans men (biological women) not to be permitted to use the women's facilities"". For example, trans men could be excluded from women's facilities ""where reasonable objection is taken to their presence, for example because the gender reassignment process has given them a masculine appearance"", the watchdog told the BBC. The guidance adds: ""Where facilities are available to both men and women, trans people should not be put in a position where there are no facilities for them to use.""",6ea67836-46e5-4436-a7f7-6dd2758139ae_unsplash.jpg
466e208e-5daf-451a-a55d-7158fb69a77c,http://feeds.bbci.co.uk/news/rss.xml,Graduates turned down by supermarkets as vacancies drop,Young people say it is harder than ever to get a job after uni with some being turned down by supermarkets.,https://www.bbc.com/news/articles/c2307p4jjz4o,general,"Graduates turned down by supermarkets as vacancies drop

10 hours ago Share Save Kirsty Grant & Jennifer Meierhans BBC News reporters Share Save

Faisa Ali Tarabi Faisa has been looking for work for 15 months

Young people have told the BBC they are finding it harder than ever to get a job, with some graduates frustrated at being turned down for roles at supermarkets. The government says getting more young people into work is a priority but UK job vacancies are at their lowest level in nearly four years. The British Retail Consortium (BRC), which represents supermarkets, told the BBC young people would be hit hardest as firms cut back on hiring because of rising employer costs and forthcoming changes to workers' rights. Faisa Ali Tarabi, 24, from Bolton said she had gone through Aldi's recruitment process only to be told there was no suitable vacancy.

She has a degree in accounting and finance from the University of Salford and a masters in management from Manchester Metropolitan University Looking for work since she finished her masters in January 2024, she estimates she has applied for around 2,000 roles. ""I've been without work for 15 months now, and to be honest, I'm not just looking for work with my degrees now. I'm trying to get whatever I can for the time being."" Faisa says she applied for a job at an Aldi warehouse in March 2024 but she showed the BBC an email from the store's recruitment team saying: ""You've done really well so far, however we do not currently have a vacancy that fully meets your requirements."" It said ""all is not lost though"" and said recruiters would be back in touch if a potential vacancy came up in the next 12 months. She says she has not heard anything since. The BBC has asked Aldi for a comment.

In February we reported that more 16-24 year-olds were not in work, education or training at the end of 2024 than at any point in the past 11 years. That is 13.4%, or almost one out of every seven people in that age range, according to the Office for National Statistics (ONS). Faisa was one of hundreds of people who commented on this report on BBC News TikTok saying their unemployment was not for want of trying. ""I check every day, there are no jobs,"" one user said. Another said: ""Finished my uni degree and can't find one job within the field I studied for."" A third user posted: ""Young people aren't fussy we literally can't even get hired cleaning toilets.""

The number of jobs on offer in the UK fell to 781,000 in the first three months of the year, according to the latest data from the Office for National Statistics (ONS). Some experts believe the rising cost of employing people is making businesses hold back on hiring new staff. In April the rate of employer National Insurance contributions (NICs) went up and so did minimum wages across different age groups. Business groups have also called for urgent changes to the forthcoming Employment Rights Bill over concerns it could hit hiring. Under the new law being scrutinised in the House of Lords on Tuesday, company bosses will be required to offer a zero-hours worker a guaranteed-hours contract based on the hours they clock up during a 12-week period. The biggest concern among retail HR directors is that this risks making it much harder to offer people part-time jobs, according to a BRC survey. It surveyed HR directors at 30 businesses, together employing 585,000 retail workers. Just over half said the law change would result in a reduction in staff numbers in their business, while 61% said the new law would reduce flexibility in job offerings.

BRC chief executive Helen Dickinson said: ""Almost 250,000 jobs have been lost in retail over the last five years and many major retailers have already announced further job cuts on the back of increased costs of employment which kicked in in April."" She said part-time roles were down by 200,000 since 2017. ""These roles, which provide vital entry points into work for students, carers and returners, are set to be hardest hit,"" she said. ""In its current form the Employment Rights Bill could backfire, putting the brakes on hiring, or worse still, putting retail job numbers further into reverse.""

Amy Wilkes Amy says not hearing back about job applications can feel ""impossible"" but says you must not give up

In November we spoke to Amy Wilkes, 23, from Coventry who was struggling to find a job after getting a degree in criminology, policing and investigation. She says she applied for supermarket roles but did not get a response. ""It was feeling impossible,"" she says. ""What really hurt me was the not hearing back because you don't get any feedback to tell you where you're going wrong."" After seven months Amy secured a job as a support worker, which she will start in July. ""It was a surreal moment when I found out. I was in absolute shock, quite emotional but very thrilled,"" she says. Her biggest piece of advice to others looking for work is ""don't give up"". ""I know it's really hard but there is a job out there for you,"" she says. ""Think about what you can offer - that helped my confidence to think about myself and knowing my value and what I could bring to a company.""

A government spokesperson said its new ""youth guarantee"" was ""providing every 18-21-year-old in England with access to an apprenticeship, quality training and education opportunities or help to find a job"". It said its decisions, including to raise employer NICs, were necessary to ""stabilise the public finances"" to fund services like the NHS. They added that business could claim employer NICs relief for some eligible staff including those aged under 21 and for apprentices under the age of 25.

Six expert tips for finding work",466e208e-5daf-451a-a55d-7158fb69a77c_unsplash.jpg
14bcfc68-1831-4573-a508-22ad963c2c60,http://feeds.bbci.co.uk/news/rss.xml,"Men should be able to carry out mammograms, specialists say",The Society of Radiographers says allowing men to do mammograms would reduce staff shortages.,https://www.bbc.com/news/articles/c367ykjzl5go,general,"Men should help carry out mammograms - experts

Mammograms can only be undertaken by female radiographers currently

Sally Reed, 67, who had two mastectomies after mammograms revealed breast cancer, told the BBC that ""if something can save your life you should go for it"" - whether it's administered by a woman or man.

The Society of Radiographers (SoR) has called for a change in policy due to ""critical"" staff shortages among radiographers who specialise in this area.

X-rays called mammograms are offered to women between the age of 50 and 71 every three years to check for signs of cancer, but can currently only be performed by female staff.

Male health workers should be allowed to perform breast screening examinations to help relieve staff shortages, say experts.

'I may not have been here today without mammogram'

But Sally also admits women who already don't want to go for breast screening ""would definitely be turned off by a man"".

Breast X-rays, which look for cancers that are too small to see or feel, are only permitted to be undertaken by female health workers. Mammography is the only health examination carried out exclusively by female staff.

According to radiographers, the vacancy rate among mammographers who specialise in breast exams is 17.5%.

Among mammographers who assess women who have found a lump in their breast or have a family history of breast cancer, the figure is 20%.

It takes three to four years to qualify as a radiographer through a university degree.

Changes to staffing were being discussed at the annual SoR conference, with discussions also taking place over whether transgender men should be included in the NHS breast screening programme.

Sue Johnson, who represents the SoR, told the BBC: ""The role of the radiographer has developed and evolved and there is a much broader scope to the job role than simply taking the images.

""It's a very desirable and enjoyable career and men are saying 'we would like to access that same career and we could help deliver the service'"".

Johnson said she believes this could help the recruitment of more radiographers and open up the job to more qualified people because ""mammography doesn't get as much publicity"" as other health professions.

The prospect of men performing mammograms has been explored unsuccessfully in the past, but Johnson believes ""the world has changed"" and that ""the time is right"" to start reconsidering the role.

She says women would still be given a choice on who conducted their mammogram if they didn't feel comfortable with a man doing it.

Ms Reed said having two mammograms 15 years apart were responsible for ""saving"" her life.

She's now had two mastectomies after two separate breast cancer diagnoses.

Because of what she's gone through, having a male radiographer ""wouldn't bother me at all"", she says.

But Conservative leader Kemi Badenoch said she believed ""most if not all"" women would want the ""very intimate"" screenings done by another woman, speaking from her own experience.

The focus should be on recruiting more radiographers rather than expecting women to ""compromise on their privacy and dignity,"" she told BBC Breakfast on Tuesday.",14bcfc68-1831-4573-a508-22ad963c2c60_unsplash.jpg
9ac14b4e-17c8-4c20-a7df-6d48f118b742,Free Press Journal,IIT-Indore To Host Technology Translational Research Park On Digital Healthcare,"Under the aegis of NM-ICPS, IIT Indore already received a Technology Innovation Hub (TIH) back in 2021.",https://www.freepressjournal.in/indore/iit-indore-to-host-technology-translational-research-park-on-digital-healthcare&ved=2ahUKEwi47Iqi9_yMAxW4rlYBHWYWKXMQxfQBegQIARAC&usg=AOvVaw2UZPB0kbROhfnMwIc9MnRV,technology,,9ac14b4e-17c8-4c20-a7df-6d48f118b742_unsplash.jpg
97c35a9b-2597-4333-b217-ead1768d42f3,BusinessLine,"Vedanta introduces cutting-edge technology to create productive, future-ready workplace","Vedanta Ltd on Tuesday said it has deployed several leading-edge technologies, including Artificial Intelligence (AI)-led monitoring systems and drones to...",https://www.thehindubusinessline.com/companies/vedanta-introduces-cutting-edge-technology-to-create-productive-future-ready-workplace/article69504529.ece&ved=2ahUKEwi47Iqi9_yMAxW4rlYBHWYWKXMQxfQBegQICRAC&usg=AOvVaw2JX3LjqG1gvso4iLlS2qxs,technology,,97c35a9b-2597-4333-b217-ead1768d42f3_unsplash.jpg
e4874f48-c39f-441d-bbd5-a3074df3698d,Wooster Daily Record,"Sheriff Tom Ballinger discusses technology, community, fentanyl epidemic at Wooster Rotary","Wayne County Sheriff Tom Ballinger recently spoke at a Wooster Rotary meeting about embracing technology, building community relationships, and the ongoing...",https://www.the-daily-record.com/story/news/crime/2025/04/29/wayne-county-sheriff-tom-ballinger-talks-drugs-technology-at-wooster-rotary-fentanyl-pills-heroin/83274353007/&ved=2ahUKEwi47Iqi9_yMAxW4rlYBHWYWKXMQxfQBegQICBAC&usg=AOvVaw3jGeJo2dkg0uEA4mtCNvOn,technology,,e4874f48-c39f-441d-bbd5-a3074df3698d_unsplash.jpg
b41530d9-4cea-4053-add9-540c2ec2f013,Better Retailing,Age-verification technology could help retailers curb underage vaping,"Age-verification technology could play a key role in helping preventing underage vaping, even outside of stores, according to an independent retailer.",https://www.betterretailing.com/age-verification-technology-could-help-retailers-curb-underage-vaping/&ved=2ahUKEwi47Iqi9_yMAxW4rlYBHWYWKXMQxfQBegQIBxAC&usg=AOvVaw2dEClF3dmB7WRmCg8EAndY,technology,,b41530d9-4cea-4053-add9-540c2ec2f013_unsplash.jpg
92da6493-df70-4e50-b2d0-b027c60b2c9a,CoinDesk,Eric Semler Calls Viant Technology a Zombie Company That Should Embrace a BTC Treasury,The Semler Scientific chairman flagged the ad tech firm as ripe for a bitcoin treasury strategy amid stock struggles and cash stockpile.,https://www.coindesk.com/markets/2025/04/29/viant-technology-could-benefit-from-buying-bitcoin-eric-semler-says&ved=2ahUKEwi47Iqi9_yMAxW4rlYBHWYWKXMQxfQBegQIChAC&usg=AOvVaw0bWjaRA1vccc5YGWm1OAp0,technology,,92da6493-df70-4e50-b2d0-b027c60b2c9a_unsplash.jpg
